business_id|stars|takeout|drivethru|outdoorseating|caters|noise|p_garage|p_street|p_validated|p_lot|p_valet|delivery|price|attire|tv|gf_dessert|gf_latenight|gf_lunch|gf_dinner|gf_breakfast|gf_brunch|reservations|a_romantic|a_intimate|a_classy|a_hipster|a_divey|a_touristy|a_trendy|a_upscale|a_casual|waiter|creditcards|kids|groups|alcohol|wheelchair|wifi|counter|dogs|dancing|coat|smoking|happyhour|m_dj|m_background|m_jukebox|m_live|m_video|m_karaoke|byob|corkage|byobcorkage|tfhours|ages|d_dairyfree|d_glutenfree|d_vegan|d_kosher|d_halal|d_soyfree|d_vegetarian|appt|insurance
usSROUMiAgPcxV3Ym0OxMQ|3.5|True|n/a|True|False|average|False|False|False|True|False|False|3|casual|True|False|False|True|True|False|False|True|False|False|False|False|False|False|False|False|True|True|True|True|True|full_bar|True|free|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
8Nm_jcCYtMXYW0ODSHDiXA|4.5|True|n/a|False|True|quiet|False|False|False|True|False|False|3|casual|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|True|True|True|full_bar|True|no|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
QVZBd_eu0oJ4IN0md2XPTQ|5.0|False|n/a|False|n/a|n/a|False|True|False|False|False|False|4|dressy|n/a|False|False|False|False|False|False|True|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|True|True|False|True|none|True|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
2SwC8wqpZC4B9iFVTgYT9A|4.0|True|n/a|True|True|average|False|True|False|False|True|False|3|dressy|False|False|False|False|True|False|False|True|False|False|False|False|False|False|True|False|False|True|True|False|True|full_bar|True|free|n/a|False|n/a|True|no|True|False|False|False|False|False|False|n/a|False|yes_free|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
qUeBDN0D8SC93KeAHhiL-g|4.5|False|n/a|True|True|average|False|False|False|False|True|False|4|dressy|False|False|False|False|True|False|False|True|True|True|True|False|False|False|False|False|False|True|True|False|True|full_bar|True|no|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
1vQLTKwmcmZXtNzfKEvMmA|3.0|True|n/a|False|True|average|False|False|False|True|False|False|3|casual|True|False|False|False|True|False|False|True|False|False|False|False|False|False|True|False|False|True|True|True|True|full_bar|True|no|n/a|False|n/a|True|no|True|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
jrSGpWnVJy8jqgN6XSC7Nw|4.0|True|n/a|False|n/a|quiet|n/a|n/a|n/a|n/a|n/a|False|3|casual|True|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|n/a|True|True|True|full_bar|n/a|no|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
z4cCguoHdU48pj6sXMIzqg|2.5|True|n/a|True|False|quiet|True|False|True|False|True|False|3|casual|True|False|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|True|True|False|True|full_bar|True|free|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|False|False|yes_free|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
sbTF0cLKZH6_BP8BLARVDg|2.5|n/a|n/a|True|n/a|loud|True|False|False|False|False|False|3|casual|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|True|False|True|full_bar|n/a|n/a|n/a|n/a|n/a|False|yes|True|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
90Fqfzd8zD9AuuNBSv9lAg|4.0|True|n/a|False|True|quiet|False|False|False|False|True|True|4|dressy|False|False|False|False|True|False|False|True|False|False|True|False|False|False|False|False|False|True|True|False|True|full_bar|True|free|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a|n/a
