business_id|name|city|state|latitude|longitude|stars|review_count|price|genres|avg score
5UmKMjUEUNdYWqANhGckJw|Mr Hoagie|Dravosburg|PA|40.3543266|-79.9007057|4.5|4|1|Fast Food|4.67
mVHrayjG3uZ_RLHkLj-AMg|Emil's Lounge|rankin|PA|40.4134643|-79.8802474|5.0|20|1|Bars /// American (New) /// Nightlife /// Lounges|4.72
KayYbHCt-RkbGcPdGOThNg|Alexion's Bar & Grill|Carnegie|PA|40.415517|-80.067534|4.0|21|1|Bars /// American (Traditional) /// Nightlife|3.94
wJr6kSA5dchdgOdwH6dZ2w|Kings Family Restaurant|Carnegie|PA|40.3875124|-80.0932152|3.5|8|1|Burgers /// Breakfast & Brunch /// American (Traditional)|3.29
fNGIbpazjTRdXgwRY_NIXA|Rocky's Lounge|Carnegie|PA|40.3964688|-80.0849416|4.0|7|1|Bars /// American (Traditional) /// Nightlife /// Lounges|4.0
b9WZJp5L1RZr4F1nxclOoQ|Gab & Eat|Carnegie|PA|40.3980741|-80.0833859|4.5|58|1|Breakfast & Brunch /// Sandwiches|4.57
zaXDakTd3RXyOa7sMrUE1g|Barb's Country Junction Cafe|Carnegie|PA|40.404638|-80.089985|3.5|6|1|Cafes|4.0
WETE_LykpcnrC1sFcQ5EGg|Paddy's Pour House|Carnegie|PA|40.40867|-80.085279|3.0|7|2|Pubs /// Irish /// Nightlife /// Bars|3.0
rv7CY8G_XibTx82YhuqQRw|Long John Silver's|Carnegie|PA|40.3868915|-80.0937037|3.5|5|1||3.4
SQ0j7bgSTazkVQlF5AnqyQ|Don Don Chinese Restaurant|Carnegie|PA|40.4083473|-80.0849615|2.5|9|1|Chinese|2.5
wqu7ILomIOPSduRwoWp4AQ|Denny's|Pittsburgh|PA|40.39114|-80.073788|4.0|9|1|American (Traditional)|4.43
P1fJb2WQ1mXoiudj8UE44w|Papa J's|Carnegie|PA|40.4081422|-80.0851737|3.5|64|2|Italian|3.57
