day	hour	value
1	1	256
1	2	139
1	3	93
1	4	92
1	5	59
1	6	61
1	7	97
1	8	149
1	9	214
1	10	327
1	11	285
1	12	319
1	13	347
1	14	311
1	15	319
1	16	347
1	17	316
1	18	313
1	19	382
1	20	349
1	21	304
1	22	270
1	23	235
1	24	192
2	1	229
2	2	105
2	3	73
2	4	61
2	5	52
2	6	56
2	7	71
2	8	142
2	9	195
2	10	254
2	11	265
2	12	273
2	13	352
2	14	303
2	15	336
2	16	342
2	17	320
2	18	299
2	19	328
2	20	360
2	21	326
2	22	260
2	23	277
2	24	213
3	1	242
3	2	135
3	3	99
3	4	78
3	5	75
3	6	64
3	7	100
3	8	142
3	9	208
3	10	294
3	11	278
3	12	280
3	13	345
3	14	309
3	15	289
3	16	375
3	17	292
3	18	316
3	19	334
3	20	345
3	21	294
3	22	284
3	23	245
3	24	179
4	1	226
4	2	105
4	3	87
4	4	83
4	5	55
4	6	44
4	7	80
4	8	121
4	9	198
4	10	251
4	11	307
4	12	261
4	13	279
4	14	280
4	15	317
4	16	331
4	17	298
4	18	283
4	19	305
4	20	335
4	21	305
4	22	265
4	23	232
4	24	173
5	1	212
5	2	114
5	3	118
5	4	75
5	5	63
5	6	55
5	7	101
5	8	145
5	9	198
5	10	273
5	11	252
5	12	297
5	13	351
5	14	337
5	15	305
5	16	359
5	17	309
5	18	335
5	19	374
5	20	407
5	21	374
5	22	333
5	23	317
5	24	290
6	1	307
6	2	247
6	3	205
6	4	159
6	5	120
6	6	83
6	7	79
6	8	95
6	9	164
6	10	255
6	11	247
6	12	315
6	13	340
6	14	290
6	15	308
6	16	290
6	17	272
6	18	287
6	19	318
6	20	348
6	21	354
6	22	326
6	23	306
6	24	288
7	1	333
7	2	260
7	3	262
7	4	208
7	5	150
7	6	111
7	7	71
7	8	91
7	9	136
7	10	195
7	11	248
7	12	289
7	13	267
7	14	251
7	15	277
7	16	304
7	17	296
7	18	274
7	19	332
7	20	303
7	21	332
7	22	295
7	23	295
7	24	214
